# Phase 0 draft: compact scalar validation and the remaining stand-in-tag envelope.
# id	operation	hex	error	note
extension-wrong-inner-type	canonical	d9444c00	INVALID_EXTENSION	extension tag must contain an array
extension-empty	canonical	d9444c80	INVALID_EXTENSION	extension array must contain a type ID
extension-negative-id	canonical	d9444c8120	INVALID_EXTENSION	integer type ID must be non-negative
extension-empty-name-id	canonical	d9444c8160	INVALID_EXTENSION	string type ID must be non-empty
extension-boolean-id	canonical	d9444c81f4	INVALID_EXTENSION	type ID must be an unsigned integer or string
extension-keyword-missing-name	canonical	d9444c8101	INVALID_EXTENSION	keyword requires a name
extension-keyword-wrong-name	canonical	d9444c820100	INVALID_EXTENSION	keyword name must be text
extension-keyword-extra-field	canonical	d9444c8401616e6178656578747261	INVALID_EXTENSION	keyword permits only namespace and name fields
extension-nonshortest-id	canonical	d9444c8218016161	NON_SHORTEST	built-in type ID must use shortest integer encoding
extension-collection-limit	limit-collection	d9444c83182a01f6	COLLECTION_LIMIT	envelope item count exceeds the two-item test limit
extension-byte-limit	limit-extension	d9444c83182a01f6	EXTENSION_LIMIT	tag content exceeds the four-byte extension limit
compact-empty	canonical	40	INVALID_EXTENSION	a DL byte string must contain a subtype
compact-unknown-subtype	canonical	4100	INVALID_EXTENSION	undefined byte-string subtype
compact-unknown-subtype-fast	fast	4100	INVALID_EXTENSION	fast readers reject undefined byte-string subtypes
compact-legacy-bare-bytes	canonical	4200ff	INVALID_EXTENSION	ordinary bytes require subtype FE
keyword-missing-length	canonical	41e0	INVALID_EXTENSION	qualified keyword requires a namespace byte length
symbol-missing-length	canonical	41e1	INVALID_EXTENSION	qualified symbol requires a namespace byte length
keyword-truncated-varint	canonical	42e080	INVALID_EXTENSION	namespace varint must terminate inside the byte string
keyword-truncated-body	canonical	43e004	TRUNCATED	outer byte string is shorter than its declared length
keyword-namespace-overrun	canonical	43e00261	INVALID_EXTENSION	namespace length exceeds the remaining payload
keyword-namespace-crosses-item	canonical	8242e0026161	INVALID_EXTENSION	namespace length cannot consume the following CBOR item
keyword-nonshortest-varint	canonical	44e0800061	NON_SHORTEST	namespace byte length must use shortest unsigned LEB128
keyword-nonshortest-varint-fast	fast	44e0800061	NON_SHORTEST	shortest namespace lengths are required in both modes
keyword-varint-overflow	canonical	46e08080808008	LENGTH_OUT_OF_RANGE	namespace byte length is at most 2147483647
keyword-varint-too-long	canonical	46e08080808080	LENGTH_OUT_OF_RANGE	namespace byte length uses at most five bytes
keyword-large-namespace-overrun	canonical	46e0ffffffff07	INVALID_EXTENSION	large in-range namespace length is bounded before allocation
keyword-namespace-surrogate	canonical	46e003eda08061	INVALID_UTF8	namespace must contain only Unicode scalar values
keyword-namespace-splits-utf8	canonical	45e001cebb61	INVALID_UTF8	namespace length cannot split a UTF-8 code point
keyword-invalid-name	canonical	44e00161ff	INVALID_UTF8	qualified name has independently validated UTF-8
