# DL-CBOR v1 Phase 0 exact-byte corpus. UTF-8, tab-separated.
# id	profiles	type	diagnostic	canonical_hex	storage_hex	clojure	rust
null	data,protocol,internal	null	null	f6	fff6	nil	Value::Null
false	data,protocol,internal	boolean	false	f4	fff4	false	Value::Bool(false)
true	data,protocol,internal	boolean	true	f5	fff5	true	Value::Bool(true)
uint-0	data,protocol,internal	integer	0	00	00	0	Value::Integer(0)
uint-23	data,protocol,internal	integer	23	17	17	23	Value::Integer(23)
uint-24	data,protocol,internal	integer	24	1818	1818	24	Value::Integer(24)
uint-255	data,protocol,internal	integer	255	18ff	18ff	255	Value::Integer(255)
uint-256	data,protocol,internal	integer	256	190100	190100	256	Value::Integer(256)
uint-65535	data,protocol,internal	integer	65535	19ffff	19ffff	65535	Value::Integer(65535)
uint-65536	data,protocol,internal	integer	65536	1a00010000	1a00010000	65536	Value::Integer(65536)
uint-u32-max	data,protocol,internal	integer	4294967295	1affffffff	1affffffff	4294967295	Value::Integer(4294967295)
uint-u32-plus-1	data,protocol,internal	integer	4294967296	1b0000000100000000	1b0000000100000000	4294967296	Value::Integer(4294967296)
int64-max	data,protocol,internal	integer	9223372036854775807	1b7fffffffffffffff	1b7fffffffffffffff	9223372036854775807	Value::Integer(9223372036854775807)
nint-1	data,protocol,internal	integer	-1	20	20	-1	Value::Integer(-1)
nint-24	data,protocol,internal	integer	-24	37	37	-24	Value::Integer(-24)
nint-25	data,protocol,internal	integer	-25	3818	3818	-25	Value::Integer(-25)
int64-min	data,protocol,internal	integer	-9223372036854775808	3b7fffffffffffffff	3b7fffffffffffffff	-9223372036854775808	Value::Integer(-9223372036854775808)
bigint-positive	data,protocol,internal	bigint	9223372036854775808	c2488000000000000000	c2488000000000000000	9223372036854775808N	Value::PositiveBigInt(0x8000000000000000)
bigint-negative	data,protocol,internal	bigint	-9223372036854775809	c3488000000000000000	c3488000000000000000	-9223372036854775809N	Value::NegativeBigInt(0x8000000000000000)
float32-one-half	data,protocol,internal	float32	1.5	fa3fc00000	fffa3fc00000	(float 1.5)	Value::Float32(1.5)
float32-negative-zero	data,protocol,internal	float32	-0.0	fa80000000	fffa80000000	(float -0.0)	Value::Float32(-0.0)
float32-positive-infinity	data,protocol,internal	float32	Infinity	fa7f800000	fffa7f800000	Float/POSITIVE_INFINITY	Value::Float32(INFINITY)
float32-nan	data,protocol,internal	float32	NaN	fa7fc00000	fffa7fc00000	Float/NaN	Value::Float32(NAN)
float64-one-half	data,protocol,internal	float64	1.5	fb3ff8000000000000	fffb3ff8000000000000	1.5	Value::Float64(1.5)
float64-negative-zero	data,protocol,internal	float64	-0.0	fb8000000000000000	fffb8000000000000000	-0.0	Value::Float64(-0.0)
float64-negative-infinity	data,protocol,internal	float64	-Infinity	fbfff0000000000000	fffbfff0000000000000	Double/NEGATIVE_INFINITY	Value::Float64(NEG_INFINITY)
float64-nan	data,protocol,internal	float64	NaN	fb7ff8000000000000	fffb7ff8000000000000	Double/NaN	Value::Float64(NAN)
bytes-empty	data,protocol,internal	bytes	h''	40	40	(byte-array 0)	Value::Bytes([])
bytes-two	data,protocol,internal	bytes	h'00ff'	4200ff	4200ff	(byte-array [0 -1])	Value::Bytes([0x00,0xff])
text-empty	data,protocol,internal	text	""	60	60	""	Value::Text("")
text-ascii	data,protocol,internal	text	"hello"	6568656c6c6f	6568656c6c6f	"hello"	Value::Text("hello")
text-lambda	data,protocol,internal	text	"λ"	62cebb	62cebb	"λ"	Value::Text("λ")
text-emoji	data,protocol,internal	text	"😀"	64f09f9880	64f09f9880	"😀"	Value::Text("😀")
vector-empty	data,protocol,internal	vector	[]	80	80	[]	Value::Array([])
vector-mixed	data,protocol,internal	vector	[1,-1,"a"]	8301206161	8301206161	[1 -1 "a"]	Value::Array([1,-1,"a"])
map-empty	data,protocol,internal	map	{}	a0	a0	{}	Value::Map([])
map-length-first	data,protocol,internal	map	{"aa":2,"b":1}	a261620162616102	a261620162616102	{"aa" 2 "b" 1}	Value::Map([("aa",2),("b",1)])
map-arbitrary-keys	data,protocol,internal	map	{10:"ten","a":"A"}	a20a6374656e61616141	a20a6374656e61616141	{10 "ten" "a" "A"}	Value::Map([(10,"ten"),("a","A")])
set-mixed	data,protocol,internal	set	#{-1,10,"a"}	d90102830a206161	d90102830a206161	#{-1 10 "a"}	Value::Set([10,-1,"a"])
decimal-zero	data,protocol,internal	decimal	0	c4820000	c4820000	0M	Value::Decimal(0,0)
decimal-one-half	data,protocol,internal	decimal	1.5	c482200f	c482200f	1.5M	Value::Decimal(-1,15)
decimal-thousand	data,protocol,internal	decimal	1E+3	c4820301	c4820301	1E+3M	Value::Decimal(3,1)
ratio-one-third	data,protocol,internal	ratio	1/3	d81e820103	d81e820103	1/3	Value::Ratio(1,3)
uri-https	data,protocol,internal	uri	"https://example.com"	d8207368747470733a2f2f6578616d706c652e636f6d	d8207368747470733a2f2f6578616d706c652e636f6d	(java.net.URI. "https://example.com")	Value::Uri("https://example.com")
uuid-sequence	data,protocol,internal	uuid	00010203-0405-0607-0809-0a0b0c0d0e0f	d82550000102030405060708090a0b0c0d0e0f	d82550000102030405060708090a0b0c0d0e0f	#uuid "00010203-0405-0607-0809-0a0b0c0d0e0f"	Value::Uuid([0x00..0x0f])
